Planned Amount,Expenditure Incurred,Financial Year,Not Onboarded,Scheme,Month Book Closed,Month Book Not Closed,ZP Name,No of ZPs,Available Amount,state_code_census,States,Year Book Not Closed,zp_code,Year Book Closed,Opening Balance,region,Total Release,Unspent Balance,state_code_lgd,Receipts,Onboarded
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,ANANTNAG,1,0.00E+00,1,JAMMU AND KASHMIR,1,1,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,BADGAM,1,0.00E+00,1,JAMMU AND KASHMIR,1,2,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,BARAMULLA,1,0.00E+00,1,JAMMU AND KASHMIR,1,3,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,DODA,1,0.00E+00,1,JAMMU AND KASHMIR,1,4,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,JAMMU,1,0.00E+00,1,JAMMU AND KASHMIR,1,5,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,KARGIL,1,0.00E+00,0,LADAKH,1,6,0,0.00E+00,North,0.00E+00,0.00E+00,37,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,KATHUA,1,0.00E+00,1,JAMMU AND KASHMIR,1,7,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
"84,000,000.00",0.00,2021-2022,1,XV Finance Commission,0,1,KUPWARA,1,0.00E+00,1,JAMMU AND KASHMIR,1,8,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,LEH LADAKH,1,0.00E+00,0,LADAKH,1,9,0,0.00E+00,North,0.00E+00,0.00E+00,37,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,POONCH,1,0.00E+00,1,JAMMU AND KASHMIR,1,10,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,PULWAMA,1,0.00E+00,1,JAMMU AND KASHMIR,1,11,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,RAJAURI,1,0.00E+00,1,JAMMU AND KASHMIR,1,12,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,SRINAGAR,1,0.00E+00,1,JAMMU AND KASHMIR,1,13,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
0.00,0.00,2021-2022,1,XV Finance Commission,0,1,UDHAMPUR,1,0.00E+00,1,JAMMU AND KASHMIR,1,14,0,0.00E+00,North,0.00E+00,0.00E+00,1,0.00E+00,0
"25,859,287.00",0.00,2021-2022,0,XV Finance Commission,1,0,BILASPUR,1,40707964,2,HIMACHAL PRADESH,0,15,1,17654071,North,13048405,40707964,2,23053893,1
"41,688,216.00",0.00,2021-2022,0,XV Finance Commission,1,0,CHAMBA,1,34274287,2,HIMACHAL PRADESH,0,16,1,0.00E+00,North,20319577,34274287,2,34274287,1
"30,325,975.00","6,617,111.00",2021-2022,0,XV Finance Commission,1,0,HAMIRPUR,1,57004538,2,HIMACHAL PRADESH,0,17,1,20710575,North,15341102,50387427,2,36293963,1
"98,374,238.00",0.00,2021-2022,0,XV Finance Commission,1,0,KANGRA,1,184784776,2,HIMACHAL PRADESH,0,18,1,69163264,North,49494699,184784776,2,115621512,1
"17,939,070.00",0.00,2021-2022,0,XV Finance Commission,1,0,KINNAUR,1,27759714,2,HIMACHAL PRADESH,0,19,1,18319701,North,7078752,27759714,2,9440013,1
"34,089,464.00",0.00,2021-2022,0,XV Finance Commission,1,0,KULLU,1,63787414,2,HIMACHAL PRADESH,0,20,1,22986194,North,16683927,63787414,2,40801220,1
"8,229,495.00",0.00,2021-2022,1,XV Finance Commission,0,1,LAHUL AND SPITI,1,8384492,2,HIMACHAL PRADESH,0,21,1,8384492,North,6005503,8384492,2,0.00E+00,0
"67,264,873.00",0.00,2021-2022,0,XV Finance Commission,1,0,MANDI,1,125928530,2,HIMACHAL PRADESH,0,22,1,45337776,North,33802021,125928530,2,80590754,1
"48,611,025.00",0.00,2021-2022,0,XV Finance Commission,1,0,SHIMLA,1,90717829,2,HIMACHAL PRADESH,0,23,1,33208405,North,24084345,90717829,2,57509424,1
"35,175,122.00",0.00,2021-2022,0,XV Finance Commission,0,1,SIRMAUR,1,24025700,2,HIMACHAL PRADESH,0,24,1,24025700,North,17648110,24025700,2,0.00E+00,1
"34,214,329.00",0.00,2021-2022,0,XV Finance Commission,1,0,SOLAN,1,53905520,2,HIMACHAL PRADESH,0,25,1,23578703,North,17222726,53905520,2,30326817,1
"33,728,901.00",0.00,2021-2022,0,XV Finance Commission,1,0,UNA,1,45984469,2,HIMACHAL PRADESH,0,26,1,22906808,North,17020833,45984469,2,23077661,1
"70,276,991.00","47,886,914.50",2021-2022,0,XV Finance Commission,1,0,AMRITSAR,1,90303402,3,PUNJAB,0,27,1,24118771,North,61591689,42416487.5,3,66184631,1
